lat,lon,count,time
30.85,120.4,11,2019-12-16 15:13:41
28.9,119.8,7,2019-12-16 15:13:41
30.55,120.5,1,2019-12-16 15:13:41
30.1,121.2,4,2019-12-16 15:13:41
29.85,121.7,2,2019-12-16 15:13:41
30.15,122.1,1,2019-12-16 15:13:41
31.75,121.3,1,2019-12-16 15:13:41
31.85,117.05,2,2019-12-16 15:13:41
31.65,119.95,9,2019-12-16 15:13:41
27.2,120.15,27,2019-12-16 15:13:41
29.6,119.95,1,2019-12-16 15:13:41
30.65,121.15,2,2019-12-16 15:13:41
31.6,119.9,3,2019-12-16 15:13:41
31.4,121.1,27,2019-12-16 15:13:41
30.1,120.75,2,2019-12-16 15:13:41
31.6,119.85,4,2019-12-16 15:13:41
29.45,120.85,3,2019-12-16 15:13:41
31.95,121.0,4,2019-12-16 15:13:41
28.9,118.95,1,2019-12-16 15:13:41
28.9,118.6,1,2019-12-16 15:13:41
31.9,118.6,15,2019-12-16 15:13:41
31.95,121.55,2,2019-12-16 15:13:41
30.05,121.0,2,2019-12-16 15:13:41
29.2,119.7,2,2019-12-16 15:13:41
26.95,120.15,1,2019-12-16 15:13:41
28.2,120.3,2,2019-12-16 15:13:41
31.3,121.65,3,2019-12-16 15:13:41
29.1,120.15,5,2019-12-16 15:13:41
30.2,121.15,9,2019-12-16 15:13:41
29.1,120.2,19,2019-12-16 15:13:41
31.15,121.4,67,2019-12-16 15:13:41
31.9,121.0,3,2019-12-16 15:13:41
30.6,118.2,1,2019-12-16 15:13:41
29.0,118.95,3,2019-12-16 15:13:41
31.6,120.5,2,2019-12-16 15:13:41
28.2,121.2,1,2019-12-16 15:13:41
28.65,121.4,64,2019-12-16 15:13:41
28.35,117.15,2,2019-12-16 15:13:41
30.25,120.0,29,2019-12-16 15:13:41
29.1,118.4,38,2019-12-16 15:13:41
31.05,119.5,6,2019-12-16 15:13:41
28.55,121.45,8,2019-12-16 15:13:41
29.85,121.65,10,2019-12-16 15:13:41
31.6,118.35,2,2019-12-16 15:13:41
26.95,119.65,2,2019-12-16 15:13:41
29.05,119.3,1,2019-12-16 15:13:41
29.2,117.35,2,2019-12-16 15:13:41
